end,Revenues,CapEx,R&D,Ticker,Sector,CapEx_intensity,R&D_intensity,US_Total_CapEx_Millions
2017-09-30,1584000000.0,69000000.0,320000000.0,AMD,semiconductor,0.043560606060606,0.202020202020202,5481513.0
2017-12-31,1584000000.0,69000000.0,320000000.0,AMD,semiconductor,0.043560606060606,0.202020202020202,5622002.0
2018-03-31,1584000000.0,46000000.0,343000000.0,AMD,semiconductor,0.029040404040404,0.216540404040404,5715435.0
2018-06-30,1584000000.0,89000000.0,700000000.0,AMD,semiconductor,0.0561868686868686,0.4419191919191919,5755903.0
2018-09-30,1584000000.0,122000000.0,1063000000.0,AMD,semiconductor,0.077020202020202,0.6710858585858586,5894057.0
2018-12-31,1584000000.0,122000000.0,1063000000.0,AMD,semiconductor,0.077020202020202,0.6710858585858586,5905297.0
2019-03-31,1584000000.0,62000000.0,373000000.0,AMD,semiconductor,0.0391414141414141,0.2354797979797979,5975893.0
2019-06-30,1584000000.0,120000000.0,373000000.0,AMD,semiconductor,0.0757575757575757,0.2354797979797979,6064499.0
2019-09-30,1584000000.0,175000000.0,406000000.0,AMD,semiconductor,0.1104797979797979,0.2563131313131313,6137987.0
2019-12-31,1584000000.0,175000000.0,406000000.0,AMD,semiconductor,0.1104797979797979,0.2563131313131313,6087481.0
2020-03-31,1584000000.0,55000000.0,442000000.0,AMD,semiconductor,0.0347222222222222,0.279040404040404,5992472.0
2020-06-30,1584000000.0,146000000.0,460000000.0,AMD,semiconductor,0.0921717171717171,0.2904040404040404,5447396.0
2020-09-30,1584000000.0,220000000.0,508000000.0,AMD,semiconductor,0.1388888888888889,0.3207070707070707,6358582.0
2020-12-31,1584000000.0,220000000.0,508000000.0,AMD,semiconductor,0.1388888888888889,0.3207070707070707,6551112.0
2021-03-31,1584000000.0,66000000.0,610000000.0,AMD,semiconductor,0.0416666666666666,0.3851010101010101,6645978.0
2021-06-30,1584000000.0,130000000.0,659000000.0,AMD,semiconductor,0.082070707070707,0.4160353535353535,6767112.0
2021-09-30,1584000000.0,215000000.0,765000000.0,AMD,semiconductor,0.1357323232323232,0.4829545454545454,6897278.0
2021-12-31,1584000000.0,215000000.0,765000000.0,AMD,semiconductor,0.1357323232323232,0.4829545454545454,7350034.0
2022-03-31,1584000000.0,71000000.0,1060000000.0,AMD,semiconductor,0.0448232323232323,0.6691919191919192,7598204.0
2022-06-30,1584000000.0,203000000.0,2360000000.0,AMD,semiconductor,0.1281565656565656,1.4898989898989898,7614309.0
2022-09-30,1584000000.0,326000000.0,1279000000.0,AMD,semiconductor,0.2058080808080808,0.8074494949494949,7632395.0
2022-12-31,1584000000.0,326000000.0,1279000000.0,AMD,semiconductor,0.2058080808080808,0.8074494949494949,7752262.0
2023-03-31,1584000000.0,326000000.0,1279000000.0,AMD,semiconductor,0.2058080808080808,0.8074494949494949,7784844.0
2023-06-30,1584000000.0,158000000.0,1411000000.0,AMD,semiconductor,0.0997474747474747,0.8907828282828283,7888962.0
2023-09-30,1584000000.0,407000000.0,4361000000.0,AMD,semiconductor,0.2569444444444444,2.7531565656565657,8038434.0
2023-12-31,1584000000.0,407000000.0,4361000000.0,AMD,semiconductor,0.2569444444444444,2.7531565656565657,8127426.0
2024-03-31,1584000000.0,142000000.0,1525000000.0,AMD,semiconductor,0.0896464646464646,0.9627525252525252,8157174.0
2024-06-30,1584000000.0,296000000.0,3108000000.0,AMD,semiconductor,0.1868686868686868,1.962121212121212,8334592.0
2024-09-30,1584000000.0,428000000.0,1636000000.0,AMD,semiconductor,0.2702020202020202,1.0328282828282829,8434011.0
2024-12-31,1584000000.0,428000000.0,1636000000.0,AMD,semiconductor,0.2702020202020202,1.0328282828282829,8441732.0
2025-03-31,1584000000.0,212000000.0,1728000000.0,AMD,semiconductor,0.1338383838383838,1.0909090909090908,8734013.0
2025-06-30,1584000000.0,494000000.0,1894000000.0,AMD,semiconductor,0.3118686868686868,1.1957070707070707,8578704.0
2025-09-30,1584000000.0,752000000.0,2139000000.0,AMD,semiconductor,0.4747474747474747,1.3503787878787878,8660814.0
2008-06-30,,2058000000.0,1468000000.0,INTC,semiconductor,,,4241268.0
2008-09-30,,3432000000.0,1471000000.0,INTC,semiconductor,,,4169540.0
2008-12-31,,3432000000.0,1471000000.0,INTC,semiconductor,,,3900036.0
2009-03-31,,1509000000.0,1317000000.0,INTC,semiconductor,,,3604446.0
2009-06-30,,2490000000.0,1303000000.0,INTC,semiconductor,,,3450455.0
2009-09-30,,3434000000.0,4050000000.0,INTC,semiconductor,,,3464828.0
2009-12-31,,3434000000.0,4050000000.0,INTC,semiconductor,,,3597534.0
2010-03-31,,928000000.0,1564000000.0,INTC,semiconductor,,,3623996.0
2010-06-30,,1976000000.0,3230000000.0,INTC,semiconductor,,,3770764.0
2010-09-30,,3338000000.0,1675000000.0,INTC,semiconductor,,,3867806.0
2010-12-31,,3338000000.0,1675000000.0,INTC,semiconductor,,,3892007.0
2011-03-31,,3338000000.0,1675000000.0,INTC,semiconductor,,,3861338.0
2011-06-30,,2723000000.0,1916000000.0,INTC,semiconductor,,,3944963.0
2011-09-30,,5207000000.0,3902000000.0,INTC,semiconductor,,,3976618.0
2011-12-31,,7920000000.0,2140000000.0,INTC,semiconductor,,,4178714.0
2012-03-31,,2974000000.0,2401000000.0,INTC,semiconductor,,,4266694.0
2012-06-30,,5636000000.0,4914000000.0,INTC,semiconductor,,,4331791.0
2012-09-30,,8523000000.0,2605000000.0,INTC,semiconductor,,,4339022.0
2012-12-31,,8523000000.0,2605000000.0,INTC,semiconductor,,,4345134.0
2013-03-31,,2174000000.0,2527000000.0,INTC,semiconductor,,,4455945.0
2013-06-30,,4897000000.0,2516000000.0,INTC,semiconductor,,,4488030.0
2013-09-30,,7763000000.0,2742000000.0,INTC,semiconductor,,,4609098.0
2013-12-31,,7763000000.0,2742000000.0,INTC,semiconductor,,,4656154.0
2014-03-31,,2689000000.0,2846000000.0,INTC,semiconductor,,,4634194.0
2014-06-30,,5517000000.0,2859000000.0,INTC,semiconductor,,,4818825.0
2014-09-30,,7962000000.0,2842000000.0,INTC,semiconductor,,,4921976.0
2014-12-31,,7962000000.0,2842000000.0,INTC,semiconductor,,,4972633.0
2015-03-31,,2025000000.0,2995000000.0,INTC,semiconductor,,,5081280.0
2015-06-30,,3792000000.0,6082000000.0,INTC,semiconductor,,,5133740.0
2015-09-30,,4998000000.0,2927000000.0,INTC,semiconductor,,,5159649.0
2015-12-31,,4998000000.0,2927000000.0,INTC,semiconductor,,,5129514.0
2016-03-31,,4998000000.0,2927000000.0,INTC,semiconductor,,,5125028.0
2016-06-30,,1346000000.0,3246000000.0,INTC,semiconductor,,,5131559.0
2016-09-30,,3632000000.0,3145000000.0,INTC,semiconductor,,,5165786.0
2016-12-31,,6095000000.0,3069000000.0,INTC,semiconductor,,,5282608.0
2017-03-31,,6095000000.0,3069000000.0,INTC,semiconductor,,,5294668.0
2017-06-30,,1952000000.0,3311000000.0,INTC,semiconductor,,,5384584.0
2017-09-30,16149000000.0,7709000000.0,3209000000.0,INTC,semiconductor,0.4773670196296984,0.1987119945507461,5481513.0
2017-12-31,16149000000.0,7709000000.0,3209000000.0,INTC,semiconductor,0.4773670196296984,0.1987119945507461,5622002.0
2018-03-31,16066000000.0,2910000000.0,3311000000.0,INTC,semiconductor,0.1811278476285323,0.2060873895182372,5715435.0
2018-06-30,16962000000.0,7440000000.0,6682000000.0,INTC,semiconductor,0.4386275203395826,0.3939393939393939,5755903.0
2018-09-30,52191000000.0,11291000000.0,3428000000.0,INTC,semiconductor,0.2163399819892318,0.0656818225364526,5894057.0
2018-12-31,52191000000.0,11291000000.0,3428000000.0,INTC,semiconductor,0.2163399819892318,0.0656818225364526,5905297.0
2019-03-31,16061000000.0,3321000000.0,3332000000.0,INTC,semiconductor,0.2067741734636697,0.2074590623248863,5975893.0
2019-06-30,16505000000.0,6875000000.0,3438000000.0,INTC,semiconductor,0.4165404422902151,0.2083005149954559,6064499.0
2019-09-30,19190000000.0,11547000000.0,3208000000.0,INTC,semiconductor,0.6017196456487754,0.1671704012506513,6137987.0
2019-12-31,19190000000.0,11547000000.0,3208000000.0,INTC,semiconductor,0.6017196456487754,0.1671704012506513,6087481.0
2020-03-31,19828000000.0,3268000000.0,3275000000.0,INTC,semiconductor,0.1648174298971152,0.1651704660076659,5992472.0
2020-06-30,19728000000.0,6676000000.0,3354000000.0,INTC,semiconductor,0.3384022708840227,0.1700121654501216,5447396.0
2020-09-30,57889000000.0,10392000000.0,3272000000.0,INTC,semiconductor,0.1795159702188671,0.0565219644492045,6358582.0
2020-12-31,57889000000.0,10392000000.0,3272000000.0,INTC,semiconductor,0.1795159702188671,0.0565219644492045,6551112.0
2021-03-31,19673000000.0,3972000000.0,3623000000.0,INTC,semiconductor,0.2019010827021806,0.1841610328877141,6645978.0
2021-06-30,19631000000.0,7574000000.0,7338000000.0,INTC,semiconductor,0.3858183485303856,0.3737965462788447,6767112.0
2021-09-30,19192000000.0,11579000000.0,11141000000.0,INTC,semiconductor,0.6033243017924135,0.5805022926219258,6897278.0
2021-12-31,19192000000.0,11579000000.0,11141000000.0,INTC,semiconductor,0.6033243017924135,0.5805022926219258,7350034.0
2022-03-31,19192000000.0,11579000000.0,11141000000.0,INTC,semiconductor,0.6033243017924135,0.5805022926219258,7598204.0
2022-06-30,18353000000.0,4604000000.0,4362000000.0,INTC,semiconductor,0.2508581703263771,0.237672315152836,7614309.0
2022-09-30,24664000000.0,11846000000.0,4400000000.0,INTC,semiconductor,0.4802951670450859,0.1783976646123905,7632395.0
2022-12-31,15338000000.0,19145000000.0,4302000000.0,INTC,semiconductor,1.2482070674142651,0.2804798539574912,7752262.0
2023-03-31,15338000000.0,19145000000.0,4302000000.0,INTC,semiconductor,1.2482070674142651,0.2804798539574912,7784844.0
2023-06-30,11715000000.0,7413000000.0,4109000000.0,INTC,semiconductor,0.6327784891165172,0.3507469056764831,7888962.0
2023-09-30,38822000000.0,19054000000.0,3870000000.0,INTC,semiconductor,0.4908041831950955,0.0996857451960228,8038434.0
2023-12-31,38822000000.0,19054000000.0,3870000000.0,INTC,semiconductor,0.4908041831950955,0.0996857451960228,8127426.0
2024-03-31,12724000000.0,5970000000.0,4382000000.0,INTC,semiconductor,0.4691920779629047,0.3443885570575291,8157174.0
2024-06-30,12833000000.0,11652000000.0,8621000000.0,INTC,semiconductor,0.9079716356268994,0.671783682693057,8334592.0
2024-09-30,13284000000.0,18110000000.0,4049000000.0,INTC,semiconductor,1.3632941884974406,0.3048027702499247,8434011.0
2024-12-31,13284000000.0,18110000000.0,4049000000.0,INTC,semiconductor,1.3632941884974406,0.3048027702499247,8441732.0
2025-03-31,12667000000.0,5183000000.0,3640000000.0,INTC,semiconductor,0.4091734428041367,0.2873608589247651,8734013.0
2025-06-30,12859000000.0,8733000000.0,7324000000.0,INTC,semiconductor,0.6791352360214635,0.5695621743525935,8578704.0
2025-09-30,13653000000.0,11158000000.0,3231000000.0,INTC,semiconductor,0.8172562806709148,0.2366512854317732,8660814.0
2014-09-30,16523000000.0,7408000000.0,2655000000.0,GOOGL,hyperscaler,0.4483447315862737,0.1606851056103613,4921976.0
2014-12-31,16523000000.0,7408000000.0,2655000000.0,GOOGL,hyperscaler,0.4483447315862737,0.1606851056103613,4972633.0
2015-03-31,17258000000.0,2927000000.0,2753000000.0,GOOGL,hyperscaler,0.1696025031869278,0.1595202225055046,5081280.0
2015-06-30,34985000000.0,2515000000.0,2789000000.0,GOOGL,hyperscaler,0.0718879519794197,0.0797198799485493,5133740.0
2015-09-30,53660000000.0,2383000000.0,8772000000.0,GOOGL,hyperscaler,0.0444092433842713,0.163473723443906,5159649.0
2015-12-31,53660000000.0,2383000000.0,8772000000.0,GOOGL,hyperscaler,0.0444092433842713,0.163473723443906,5129514.0
2016-03-31,20257000000.0,2444000000.0,3367000000.0,GOOGL,hyperscaler,0.1206496519721577,0.1662141481956854,5125028.0
2016-06-30,41757000000.0,4580000000.0,6730000000.0,GOOGL,hyperscaler,0.1096822089709509,0.1611705821778384,5131559.0
2016-09-30,22451000000.0,2554000000.0,10326000000.0,GOOGL,hyperscaler,0.1137588526123558,0.4599349694891096,5165786.0
2016-12-31,22451000000.0,2554000000.0,10326000000.0,GOOGL,hyperscaler,0.1137588526123558,0.4599349694891096,5282608.0
2017-03-31,24750000000.0,2508000000.0,3942000000.0,GOOGL,hyperscaler,0.1013333333333333,0.1592727272727272,5294668.0
2017-06-30,50760000000.0,5339000000.0,8114000000.0,GOOGL,hyperscaler,0.1051812450748621,0.1598502758077226,5384584.0
2017-09-30,27772000000.0,3538000000.0,4205000000.0,GOOGL,hyperscaler,0.1273944980555955,0.1514114935906668,5481513.0
2017-12-31,27772000000.0,3538000000.0,4205000000.0,GOOGL,hyperscaler,0.1273944980555955,0.1514114935906668,5622002.0
2018-03-31,31146000000.0,7299000000.0,5039000000.0,GOOGL,hyperscaler,0.2343479098439607,0.1617864252231426,5715435.0
2018-06-30,63803000000.0,5477000000.0,5114000000.0,GOOGL,hyperscaler,0.0858423585097879,0.080152970863439,5755903.0
2018-09-30,33740000000.0,18058000000.0,5232000000.0,GOOGL,hyperscaler,0.5352104327208062,0.1550681683461766,5894057.0
2018-12-31,33740000000.0,18058000000.0,5232000000.0,GOOGL,hyperscaler,0.5352104327208062,0.1550681683461766,5905297.0
2019-03-31,36339000000.0,4638000000.0,6029000000.0,GOOGL,hyperscaler,0.1276314703211425,0.1659099039599328,5975893.0
2019-06-30,36339000000.0,6126000000.0,12242000000.0,GOOGL,hyperscaler,0.1685792124164121,0.3368832383940119,6064499.0
2019-09-30,36339000000.0,6732000000.0,18796000000.0,GOOGL,hyperscaler,0.1852555106084372,0.5172404303915903,6137987.0
2019-12-31,36339000000.0,6732000000.0,18796000000.0,GOOGL,hyperscaler,0.1852555106084372,0.5172404303915903,6087481.0
2020-03-31,41159000000.0,6005000000.0,6820000000.0,GOOGL,hyperscaler,0.1458976165601691,0.165698875094147,5992472.0
2020-06-30,38297000000.0,11396000000.0,6875000000.0,GOOGL,hyperscaler,0.2975690001827819,0.1795179779094968,5447396.0
2020-09-30,38297000000.0,16802000000.0,6856000000.0,GOOGL,hyperscaler,0.4387288821578713,0.1790218554978196,6358582.0
2020-12-31,38297000000.0,16802000000.0,6856000000.0,GOOGL,hyperscaler,0.4387288821578713,0.1790218554978196,6551112.0
2021-03-31,55314000000.0,5942000000.0,7485000000.0,GOOGL,hyperscaler,0.1074230755324149,0.1353183642477492,6645978.0
2021-06-30,61880000000.0,11438000000.0,7675000000.0,GOOGL,hyperscaler,0.184841628959276,0.1240303813833225,6767112.0
2021-09-30,61880000000.0,18257000000.0,22854000000.0,GOOGL,hyperscaler,0.2950387847446671,0.369327731092437,6897278.0
2021-12-31,61880000000.0,18257000000.0,22854000000.0,GOOGL,hyperscaler,0.2950387847446671,0.369327731092437,7350034.0
2022-03-31,61880000000.0,9786000000.0,9119000000.0,GOOGL,hyperscaler,0.1581447963800905,0.1473658694246929,7598204.0
2022-06-30,61880000000.0,16614000000.0,9841000000.0,GOOGL,hyperscaler,0.2684873949579832,0.1590336134453781,7614309.0
2022-09-30,61880000000.0,23890000000.0,29233000000.0,GOOGL,hyperscaler,0.3860698125404008,0.4724143503555268,7632395.0
2022-12-31,61880000000.0,23890000000.0,29233000000.0,GOOGL,hyperscaler,0.3860698125404008,0.4724143503555268,7752262.0
2023-03-31,61880000000.0,6289000000.0,11468000000.0,GOOGL,hyperscaler,0.1016321913380736,0.1853264382676147,7784844.0
2023-06-30,61880000000.0,13177000000.0,10588000000.0,GOOGL,hyperscaler,0.2129444085326438,0.1711053652230122,7888962.0
2023-09-30,61880000000.0,21232000000.0,11258000000.0,GOOGL,hyperscaler,0.3431157078215902,0.1819327731092437,8038434.0
2023-12-31,61880000000.0,21232000000.0,11258000000.0,GOOGL,hyperscaler,0.3431157078215902,0.1819327731092437,8127426.0
2024-03-31,61880000000.0,12012000000.0,11903000000.0,GOOGL,hyperscaler,0.1941176470588235,0.1923561732385262,8157174.0
2024-06-30,84742000000.0,25198000000.0,11860000000.0,GOOGL,hyperscaler,0.2973496023223431,0.1399542139671001,8334592.0
2024-09-30,88268000000.0,38259000000.0,12447000000.0,GOOGL,hyperscaler,0.4334413377441428,0.1410137309104092,8434011.0
2024-12-31,88268000000.0,38259000000.0,12447000000.0,GOOGL,hyperscaler,0.4334413377441428,0.1410137309104092,8441732.0
2025-03-31,88268000000.0,17197000000.0,13556000000.0,GOOGL,hyperscaler,0.1948271174151447,0.1535777405175148,8734013.0
2025-06-30,96428000000.0,39643000000.0,27364000000.0,GOOGL,hyperscaler,0.4111150288298005,0.2837764964533123,8578704.0
